DEVICE;TYPEID;M;N;K;S;GFLOPS;BS;BM;BN;BK;WS;WG;LU;NZ;AL;TB;TC;AP;AA;AB;AC
NVIDIA GH200 480GB [0x3528];3;2;2;2;30000;0;11;2;1;2;2;1;-2;0;0;0;1;0;2;0;0;0
NVIDIA GH200 480GB [0x3528];3;3;3;3;30000;0;12;3;1;2;3;1;0;0;0;0;1;0;0;0;0;0
NVIDIA GH200 480GB [0x3528];3;4;4;4;30000;0;14;4;1;2;4;-1;1;0;0;0;1;0;2;0;0;0
NVIDIA GH200 480GB [0x3528];3;4;4;5;30000;0;13;4;1;2;4;1;-2;0;0;0;1;0;2;0;0;0
NVIDIA GH200 480GB [0x3528];3;4;4;7;30000;0;12;4;1;3;4;-2;-2;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;4;4;9;30000;0;12;4;1;4;4;0;0;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;4;4;10;30000;0;5;4;1;4;4;0;-1;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;4;4;13;30000;0;4;4;1;3;4;1;-2;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;4;4;15;30000;0;4;4;1;3;4;0;-1;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;4;4;17;30000;0;4;4;1;4;4;0;0;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;4;4;25;30000;0;19;4;1;3;4;-2;-2;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;4;4;26;30000;0;3;4;1;2;4;0;0;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;4;4;28;30000;0;3;4;1;2;4;-1;0;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;4;4;32;30000;0;3;4;1;2;4;-2;-2;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;4;5;4;30000;0;15;4;1;2;5;0;0;0;0;0;1;0;0;0;0;0
NVIDIA GH200 480GB [0x3528];3;4;5;5;30000;0;13;4;1;2;5;0;-2;0;0;0;1;0;2;0;0;0
NVIDIA GH200 480GB [0x3528];3;4;5;7;30000;0;13;4;1;4;5;1;-1;0;0;0;1;0;0;2;0;0
NVIDIA GH200 480GB [0x3528];3;4;5;9;30000;0;10;4;1;2;5;-2;-2;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;4;5;13;30000;0;5;4;1;2;5;1;-2;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;4;5;17;30000;0;4;4;1;4;5;-1;-1;0;0;0;1;0;1;0;0;0
