DEVICE;TYPEID;M;N;K;S;GFLOPS;BS;BM;BN;BK;WS;WG;LU;NZ;AL;TB;TC;AP;AA;AB;AC
NVIDIA GH200 480GB [0x3528];3;2;2;2;30000;0;11;2;1;2;2;0;-2;0;0;0;1;0;2;0;0;0
NVIDIA GH200 480GB [0x3528];3;3;3;3;30000;0;12;3;1;2;3;1;0;0;0;0;1;0;0;0;0;0
NVIDIA GH200 480GB [0x3528];3;4;4;4;30000;0;14;4;1;2;4;0;1;0;0;0;1;0;2;0;0;0
NVIDIA GH200 480GB [0x3528];3;4;4;5;30000;0;12;4;1;3;4;1;-2;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;4;4;7;30000;0;13;4;1;2;4;0;-1;0;0;0;1;0;0;0;0;0
NVIDIA GH200 480GB [0x3528];3;4;4;9;30000;0;12;4;1;3;4;0;0;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;4;4;10;30000;0;5;4;1;4;4;0;-1;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;4;4;13;30000;0;4;4;1;4;4;0;0;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;4;4;15;30000;0;4;4;1;3;4;0;-2;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;4;4;17;30000;0;3;4;1;2;4;0;1;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;4;4;25;30000;0;19;4;1;3;4;0;-1;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;4;4;26;30000;0;12;4;1;2;4;0;0;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;4;4;28;30000;0;3;4;1;4;4;-1;0;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;4;4;32;30000;0;6;4;1;2;4;-1;0;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;4;5;4;30000;0;16;4;1;2;5;0;1;0;0;0;1;0;0;0;0;0
NVIDIA GH200 480GB [0x3528];3;4;5;5;30000;0;12;4;1;4;5;-2;-1;0;0;0;1;0;2;0;0;0
NVIDIA GH200 480GB [0x3528];3;4;5;7;30000;0;15;4;1;4;5;1;-1;0;0;0;1;0;0;2;0;0
NVIDIA GH200 480GB [0x3528];3;4;5;9;30000;0;10;4;1;2;5;0;-2;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;4;5;13;30000;0;5;4;1;2;5;-1;-2;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;4;5;17;30000;0;4;4;1;4;5;-2;-1;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;4;5;25;30000;0;4;4;1;4;5;-1;0;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;4;5;32;30000;0;4;4;1;2;5;1;-1;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;4;7;4;30000;0;14;4;1;2;7;-1;-1;0;0;0;1;0;2;0;0;0
NVIDIA GH200 480GB [0x3528];3;4;7;5;30000;0;11;4;1;3;7;0;0;0;0;0;1;0;0;0;0;0
NVIDIA GH200 480GB [0x3528];3;4;7;7;30000;0;12;4;1;1;7;1;-2;0;0;0;1;0;2;2;0;0
NVIDIA GH200 480GB [0x3528];3;4;7;9;30000;0;5;4;1;4;7;1;0;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;4;7;13;30000;0;4;4;1;4;7;-2;-2;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;4;9;4;30000;0;13;4;1;3;9;1;-1;0;0;0;1;0;0;0;0;0
NVIDIA GH200 480GB [0x3528];3;4;9;5;30000;0;12;4;1;2;9;-2;-2;0;0;0;1;0;2;2;0;0
NVIDIA GH200 480GB [0x3528];3;4;9;7;30000;0;12;4;1;4;9;1;0;0;0;0;1;0;2;2;0;0
NVIDIA GH200 480GB [0x3528];3;4;9;9;30000;0;10;4;1;2;9;-2;-2;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;4;9;13;30000;0;10;4;1;3;9;-1;-2;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;4;10;4;30000;0;15;4;1;2;10;-1;0;0;0;0;1;0;0;2;0;0
NVIDIA GH200 480GB [0x3528];3;4;10;10;30000;0;10;4;1;3;10;0;-1;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;4;13;4;30000;0;16;4;1;3;13;-1;0;0;0;0;1;0;0;0;0;0
NVIDIA GH200 480GB [0x3528];3;4;13;5;30000;0;13;4;1;4;13;1;-1;0;0;0;1;0;2;2;0;0
NVIDIA GH200 480GB [0x3528];3;4;13;7;30000;0;13;4;1;3;1;-2;-1;0;0;0;1;0;0;2;0;0
NVIDIA GH200 480GB [0x3528];3;4;13;9;30000;0;10;4;1;2;1;-1;0;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;4;13;13;30000;0;12;4;1;2;1;0;-2;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;4;13;17;30000;0;10;4;1;4;1;-1;-1;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;4;13;32;30000;0;12;4;1;2;1;1;1;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;4;15;4;30000;0;14;4;1;2;1;1;-1;0;0;0;1;0;2;0;0;0
NVIDIA GH200 480GB [0x3528];3;4;17;4;30000;0;16;4;1;3;1;1;-1;0;0;0;1;0;2;2;0;0
NVIDIA GH200 480GB [0x3528];3;4;17;5;30000;0;13;4;1;2;1;-2;-1;0;0;0;1;0;2;0;0;0
NVIDIA GH200 480GB [0x3528];3;4;17;13;30000;0;14;4;1;2;1;-1;-2;0;0;0;1;0;2;0;0;0
NVIDIA GH200 480GB [0x3528];3;4;17;17;30000;0;9;4;1;4;1;-1;-2;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;4;17;32;30000;0;15;4;1;4;1;-1;-2;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;4;25;4;30000;0;17;4;1;3;1;0;0;0;0;0;1;0;2;2;0;0
NVIDIA GH200 480GB [0x3528];3;4;25;5;30000;0;14;4;1;4;25;-2;0;0;0;0;1;0;0;2;0;0
NVIDIA GH200 480GB [0x3528];3;4;26;4;30000;0;19;4;1;4;1;0;-1;0;0;0;1;0;0;2;0;0
NVIDIA GH200 480GB [0x3528];3;4;28;4;30000;0;16;4;1;3;1;0;-1;0;0;0;1;0;2;2;0;0
